Database,Schema,Table/View,Table or View,Description,Date_Range,Data Start,Data End,Link,Author,Created_Date,Last_Update_By,Last_Update_Date,Release schedule,Provisional Schedule,Updated Frequency,Only Historic
NHSE_111,,,N/A,The 111 data from NECS RAIDR. This database has a restricted access and is only available to specific individuals,Apr 2015 - Ongoing,Apr 2015, Ongoing,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_111,dbo,111_Provider_Data,Table,"The latest 111 data available. The tables with dates at the end of them are previous sets of data, for comparison purposes.",Apr 2015 - Ongoing,Apr 2015, Ongoing,,Nathan Abbotts,11/7/17,,,Ad-Hoc,Ad-Hoc,Ad-Hoc,
NHSE_111,dbo,111_Provider_Data_2017_04_20,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Mar 2017,Apr 2015, Mar 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_05_05,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Mar 2017,Apr 2015, Mar 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_05_25,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Mar 2017,Apr 2015, Mar 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_07_11,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - May 2017,Apr 2015, May 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_09_14,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Jun 2017,Apr 2015, Jun 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_10_10,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Aug 2017,Apr 2015, Aug 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_10_27,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Aug 2017,Apr 2015, Aug 2017,,Nathan Abbotts,11/7/17,,,None-Historic,Final,None-Historic,Yes
NHSE_111,dbo,111_Provider_Data_2017_11_08,Table,"A previous set of 111 data, retained for comparison purposes.",Apr 2015 - Sep 2017,Apr 2015,Sep 2017,,Nathan Abbotts,12/5/17,,,None-Historic,Final,None-Historic,Yes
NHSE_IAPT,,,N/A,The (adult) Improving Access to Psychological Therapies (IAPT) data.,Apr 2013- Ongoing,Apr 2013, Ongoing,http://content.digital.nhs.uk/iapt,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_IAPT,internal,,N/A,The default schema for the meta data in the database.,N/A,N/A,N/A,,Nathan Abbotts,11/7/17,,,N/A,N/A,N/A,N/A
NHSE_IAPT,dbo,Appointment_v15,Table,An appointment is an interaction with a patient by a health care professional with the objective of making a contribution to the health care of the patient. This table holds details of each appointment. A patient may have multiple appointments which require recording.,Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
NHSE_IAPT,dbo,Assessments_v15,Table,This table should contain details of each IAPT Assessment Patient Experience Questionnaire administered for a patient by a healthcare professional.,Apr 2015 - Ongoing,Apr 2015, Ongoing,http://content.digital.nhs.uk/iapt,Nathan Abbotts,11/7/17,,,Monthly,Monthly,Monthly,No
